LGA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA30250,0,0,6,4,0,0,0,0,0,11,0,0,3,6,3,0,0,3,0,21,7,7,10,17,0,4,0,5,0,54,0,11,12,15,0,0,4,9,3,52,10,8,11,11,7,0,0,3,3,49,3,5,3,9,5,0,3,6,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,36,37,55,18,8,13,35,13,231
LGA30300,5,0,19,11,3,32,9,37,3,116,10,20,32,22,16,15,8,36,0,154,72,70,40,32,53,30,20,71,3,389,111,62,32,44,48,32,46,41,8,422,137,55,38,42,50,27,45,83,6,486,122,38,36,23,39,16,29,73,5,398,54,10,19,3,13,13,14,15,3,143,25,0,0,0,0,0,0,5,0,31,4,0,0,0,0,0,0,0,0,6,544,262,222,189,220,160,176,355,30,2149
LGA30370,15,3,78,47,23,124,12,103,4,416,25,50,150,50,61,50,54,129,6,570,185,226,302,92,149,63,176,241,9,1444,233,173,246,109,170,90,246,218,21,1503,359,131,192,100,172,83,285,208,29,1564,341,93,162,70,85,49,188,169,17,1173,206,30,20,13,20,9,53,39,8,399,80,7,5,0,4,0,3,5,4,113,11,0,0,0,0,0,0,0,0,13,1455,711,1150,485,688,472,1016,1107,101,7185
LGA30410,3,3,11,8,3,15,0,16,0,67,0,18,26,15,6,3,8,43,7,128,58,56,23,27,22,7,16,40,3,251,60,38,20,23,32,17,17,42,0,260,109,26,32,20,43,12,41,56,3,344,111,17,18,20,36,10,30,35,0,278,40,7,0,5,0,0,11,23,3,93,18,3,0,0,0,0,0,4,3,28,0,0,0,0,0,0,0,0,0,0,402,162,136,127,148,68,119,255,23,1447
LGA30450,0,5,4,0,0,0,0,4,0,10,0,3,0,0,0,0,0,8,0,15,4,0,4,0,3,0,3,5,0,25,4,3,3,0,6,0,3,4,0,20,20,0,7,3,7,0,6,7,3,55,14,0,5,0,3,0,9,3,0,31,4,0,0,0,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10,23,6,22,0,24,35,4,167
LGA30760,0,0,6,4,0,13,0,12,0,37,3,14,9,3,8,6,4,6,0,49,28,26,30,12,16,15,15,25,3,164,46,19,12,22,17,11,11,43,9,186,57,17,16,20,15,9,19,30,0,186,81,9,19,26,13,10,12,31,6,207,32,6,6,4,6,3,5,9,0,76,12,0,0,0,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,261,84,100,90,78,72,67,158,23,932
LGA30900,0,3,0,0,0,0,0,8,0,14,0,0,0,0,0,0,3,23,0,29,6,3,10,4,8,0,3,15,0,52,4,0,5,0,0,0,6,5,0,31,11,0,3,3,3,0,3,7,0,33,21,5,0,4,3,0,3,6,0,47,3,0,0,0,0,0,3,4,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,51,13,16,14,18,4,21,71,3,218
LGA31000,409,1059,2208,6057,2211,9958,752,4921,373,27950,3041,11517,7567,11852,8678,10610,2349,6313,925,62856,15913,50888,18196,14529,19719,10316,5531,10241,2458,147792,21516,46250,13161,9858,18525,6753,4838,6606,2013,129524,20073,35056,10858,8974,18539,6498,4993,6945,1672,113603,10734,20201,6656,5427,12408,4533,3886,5289,943,70061,2467,4862,1316,1027,2887,1464,999,1347,306,16676,307,525,124,56,228,174,63,160,136,1771,31,53,8,10,21,19,7,15,45,220,74499,170408,60094,57786,83218,50309,23423,41841,8880,570455
LGA31750,0,0,0,0,0,3,0,3,0,9,0,0,3,0,0,0,3,4,0,17,11,0,6,0,11,0,3,11,4,38,9,0,10,8,9,0,8,3,3,41,13,3,3,0,6,0,3,9,3,40,26,0,9,0,4,3,13,10,0,58,9,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,63,10,30,12,33,6,30,36,12,220
LGA31820,35,21,246,355,137,958,74,546,28,2394,197,215,531,420,249,430,167,595,35,2845,600,1002,1035,664,636,505,462,1022,88,6019,866,1302,998,793,805,506,589,800,106,6758,1064,1345,991,955,1136,589,780,1060,108,8022,828,1010,839,688,819,468,655,913,87,6301,332,184,145,99,195,84,139,190,33,1404,80,22,8,8,22,14,12,14,23,202,8,0,0,0,4,3,0,0,5,26,4007,5104,4791,3971,3996,3561,2882,5139,525,33970
