Centre Code,Centre Name,Centre Type,Centre Status,Host Centre Code,Host Centre Name,Official Low Year Level,Official High Year Level,Officer In Charge Title,School Level Code,Show Holiday Date,Internet Site,Phone Number,Restrict Contact Outside Teaching Hours,Fax Number,Actual Address Line 1,Actual Address Line 2,Actual Address Line 3,Actual Address Post Code,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Post Code,Education Geographic Region,Federal Electorate,State Electorate,Local Government Area,Statistical Area Level2,Statistical Area Level2 Code,Remoteness Area,Enrolment Effective Date,All Student Count,Campus All Student Count,Early Childhood Registrations,Campus Early Childhood Registrations,ABN,Sector,Non-State Sector,Longitude,Latitude
5817,A B Paterson College (Arundel),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.abpat.qld.edu.au,(07) 5594 7947,N,(07) 5594 7650,,10 A B Paterson Drive,Arundel,4214,10 A B Paterson Drive,Arundel,,4214,South East,Fadden,Bonney,Gold Coast (C),Arundel,309031235,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.360364,-27.927672
5588,Aboriginal & Islander Independent Community School (Acacia Ridge),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.murrischool.qld.edu.au,(07) 3255 6133,,(07) 3255 6562,,1277 Beaudesert Road,Acacia Ridge,4110,PO Box 256,Acacia Ridge,,4110,Metropolitan,Moreton,Algester,Brisbane (C),Rocklea - Acacia Ridge,303051076,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.025757,-27.581562
5636,Albert Park Flexible Learning Centre (Milton),Non-State School,Open,,,Year 9,Year 12,Principal,,,www.ereafsn.edu.au,(07) 3071 9010,,(07) 3327 2217,,1 Hale Street,Milton,4064,1 Hale Street,Milton,,4064,Metropolitan,Brisbane,McConnel,Brisbane (C),Brisbane City,305011105,Major Cities of Australia,,,,0.00,,,Non-State,Catholic,153.010813,-27.465900
5369,All Hallows' School (Brisbane),Non-State School,Open,,,Year 5,Year 12,Principal,,,www.ahs.qld.edu.au,(07) 3831 3100,,(07) 3832 6140,,547 Ann Street,Brisbane,4000,547 Ann Street,Brisbane,,4000,Metropolitan,Brisbane,McConnel,Brisbane (C),Fortitude Valley,305011106,Major Cities of Australia,,,,0.00,,,Non-State,Catholic,153.032816,-27.460894
5452,All Saints Anglican School (Merrimac),Non-State School,Open,,,Prep Year,Year 12,Headmaster,,,www.asas.qld.edu.au,(07) 5530 2855,,(07) 5530 3314,,Highfield Drive,Merrimac,4226,Highfield Drive,Merrimac,,4226,South East,Mcpherson,Mudgeeraba,Gold Coast (C),Merrimac,309081260,Major Cities of Australia,,,,0.00,,,Non-State,Independent,153.361156,-28.060893
5600,All Saints Primary School (Albany Creek),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.allsaints.qld.edu.au,(07) 3325 6900,,(07) 3264 5877,,4 Faheys Road East,Albany Creek,4035,4 Faheys Road East,Albany Creek,,4035,Metropolitan,Dickson,Everton,Moreton Bay (R),Albany Creek,314011382,Major Cities of Australia,,,,0.00,,,Non-State,Catholic,152.970693,-27.350094
5111,All Saints' School (Boonah),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.allsaintsboonah.qld.edu.au,(07) 5463 1322,N,(07) 5463 2597,,15 Oliver Street,Boonah,4310,15 Oliver Street,Boonah,,4310,South East,Wright,Scenic Rim,Scenic Rim (R),Boonah,310021277,Inner Regional Australia,,,,0.00,,,Non-State,Catholic,152.686423,-28.000349
5451,All Souls St Gabriels School (Charters Towers),Non-State School,Open,,,Prep Year,Year 12,Headmaster,,,www.allsouls.qld.edu.au,(07) 4787 1433,,(07) 4787 3049,,30 Dr George Ellis Drive,Charters Towers,4820,PO Box 235,Charters Towers,,4820,North Queensland,Kennedy,Traeger,Charters Towers (R),Charters Towers,318011462,Outer Regional Australia,,,,0.00,,,Non-State,Independent,146.276724,-20.062721
9628,Alta-1 College (Parish Rd - Caboolture),Non-State School,Open,,,Year 11,Year 12,Principal,,,www.alta-1.qld.edu.au,(07) 5301 8008,,,Destiny Church,94 Parish Road,Caboolture,4510,PO Box 388,Caboolture,,4510,North Coast,Longman,Morayfield,Moreton Bay (R),Caboolture,313021365,Major Cities of Australia,,,,0.00,,,Non-State,Independent,152.941507,-27.071032
5077,Ambrose Treacy College (Indooroopilly),Non-State School,Open,,,Year 4,Year 12,Principal,,,www.atc.qld.edu.au,(07) 3878 0500,,(07) 3878 0501,,Twigg Street,Indooroopilly,4068,Twigg Street,Indooroopilly,,4068,Metropolitan,Ryan,Maiwar,Brisbane (C),Indooroopilly,304031094,Major Cities of Australia,,,,0.00,,,Non-State,Catholic,152.966903,-27.507571
