Centre Code,Centre Name,Centre Type,Centre Status,Host Centre Code,Host Centre Name,Official Low Year Level,Official High Year Level,Officer In Charge Title,School Level Code,Show Holiday Date,Internet Site,Phone Number,Restrict Contact Outside Teaching Hours,Fax Number,Actual Address Line 1,Actual Address Line 2,Actual Address Line 3,Actual Address Post Code,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Post Code,Education Geographic Region,Federal Electorate,State Electorate,Local Government Area,Statistical Area Level2,Statistical Area Level2 Code,Remoteness Area,Enrolment Effective Date,All Student Count,Campus All Student Count,Early Childhood Registrations,Campus Early Childhood Registrations,ABN,Sector,Non-State Sector,Longitude,Latitude
0591,Abercorn State School,State School,Open,,,Prep Year,Year 6,Principal,01,08 August 2022,www.abercornss.eq.edu.au,(07) 4167 5190,Y,,,957 Wuruma Dam Road,Abercorn,4627,957 Wuruma Dam Road,Abercorn,,4627,Central Queensland,Flynn,Callide,North Burnett (R),Monto - Eidsvold,319021508,Outer Regional Australia,2022 February,20.00,,0.00,,22101246877,State,,151.127031,-25.135955
1275,Abergowrie State School,State School,Open,,,Early Childhood,Year 6,Principal,01,24 June 2022,www.abergowriess.eq.edu.au,(07) 4777 4672,N,(07) 4777 4686,,5 Venables Road,Abergowrie,4850,5 Venables Road,Abergowrie,,4850,North Queensland,Kennedy,Hinchinbrook,Hinchinbrook (S),Ingham Region,318011465,Remote Australia,2022 February,13.00,,0.00,,87244066343,State,,145.883510,-18.474697
0025,Acacia Ridge State School,State School,Open,,,Early Childhood,Year 6,Principal,05,10 August 2022,www.acaciaridgess.eq.edu.au,(07) 3717 4111,N,(07) 3717 4100,,Nyngam Street,Acacia Ridge,4110,Nyngam Street,Acacia Ridge,,4110,Metropolitan,Moreton,Algester,Brisbane (C),Rocklea - Acacia Ridge,303051076,Major Cities of Australia,2022 February,314.00,,21.00,,99285094765,State,,153.016074,-27.579554
1983,Agnes Water State School,State School,Open,,,Prep Year,Year 6,Principal,03,26 May 2022,www.agneswaterss.eq.edu.au,(07) 4902 1333,N,,,1 Donohue Drive,Agnes Water,4677,PO Box 238,Agnes Water,,4677,North Coast,Flynn,Burnett,Gladstone (R),Agnes Water - Miriam Vale,308051530,Outer Regional Australia,2022 February,190.00,,0.00,,98271783313,State,,151.910560,-24.213972
0598,Airville State School,State School,Open,,,Prep Year,Year 6,Principal,01,22 June 2022,www.airvilless.eq.edu.au,(07) 4790 7333,N,(07) 4790 7300,,920 Old Clare Road,Airville,4807,MS 54,Ayr,,4807,North Queensland,Dawson,Burdekin,Burdekin (S),Burdekin,318011461,Outer Regional Australia,2022 February,6.00,,0.00,,17752636684,State,,147.347629,-19.655190
0801,Aitkenvale State School,State School,Open,,,Prep Year,Year 6,Principal,05,04 July 2022,www.aitkenvaless.eq.edu.au,(07) 4421 2333,N,,,67-85 Wotton Street,Aitkenvale,4814,PO Box 50,Aitkenvale,,4814,North Queensland,Herbert,Mundingburra,Townsville (C),Aitkenvale,318021467,Outer Regional Australia,2022 February,377.00,,0.00,,61019412758,State,,146.763058,-19.296785
2155,Albany Creek State High School,State High School,Open,,,Year 7,Year 12,Principal,07,08 August 2022,www.albanycreekshs.eq.edu.au,(07) 3325 6333,N,(07) 3325 6300,,Albany Forest Drive,Albany Creek,4035,PO Box 40,Albany Creek,,4035,Metropolitan,Dickson,Everton,Moreton Bay (R),Albany Creek,314011382,Major Cities of Australia,2022 February,1584.00,,0.00,,54535033957,State,,152.968606,-27.357634
0190,Albany Creek State School,State School,Open,,,Prep Year,Year 6,Principal,06,08 August 2022,www.albanycreekss.eq.edu.au,(07) 3264 0111,N,(07) 3264 0100,,696 Albany Creek Road,Albany Creek,4035,696 Albany Creek Road,Albany Creek,,4035,Metropolitan,Dickson,Everton,Moreton Bay (R),Albany Creek,314011382,Major Cities of Australia,2022 February,766.00,,0.00,,22367474023,State,,152.970666,-27.345860
1892,Albany Hills State School,State School,Open,,,Prep Year,Year 6,Principal,06,08 August 2022,www.albahillss.eq.edu.au,(07) 3264 0777,N,(07) 3264 0700,,Keong Road,Albany Creek,4035,PO Box 378,Albany Creek,,4035,Metropolitan,Dickson,Everton,Moreton Bay (R),Albany Creek,314011382,Major Cities of Australia,2022 February,841.00,,0.00,,63211059809,State,,152.972780,-27.360340
0038,Albert State School,State School,Open,,,Prep Year,Year 6,Principal,03,20 May 2022,www.albertss.eq.edu.au,(07) 4120 0888,N,(07) 4120 0800,,210-220 Albert Street,Maryborough,4650,210-220 Albert Street,Maryborough,,4650,North Coast,Wide Bay,Maryborough,Fraser Coast (R),Maryborough (Qld),319051524,Inner Regional Australia,2022 February,116.00,,0.00,,34314654106,State,,152.703888,-25.546785
2017,Aldridge State High School,State High School,Open,,,Year 7,Year 12,Principal,07,20 May 2022,www.aldridgeshs.eq.edu.au,(07) 4120 8444,N,(07) 4120 8400,,Boys Avenue,Maryborough,4650,PO Box 3061,Pallas Street,Maryborough,4650,North Coast,Wide Bay,Maryborough,Fraser Coast (R),Maryborough (Qld),319051524,Inner Regional Australia,2022 February,706.00,,0.00,,12686626457,State,,152.688545,-25.516557
1963,Alexandra Bay State School,State School,Open,,,Early Childhood,Year 6,Principal,01,18 July 2022,www.alexbayss.eq.edu.au,(07) 4098 9137,N,(07) 4098 9182,,Lot 1 Cape Tribulation Road,Diwan,4873,PMB 21,Cape Tribulation Road,Via Mossman,4873,Far North Queensland,Leichhardt,Cook,Douglas (S),Daintree,306041164,Remote Australia,2022 February,18.00,,1.00,,53750286398,State,,145.422250,-16.213862
2175,Alexandra Hills State High School,State High School,Open,,,Year 7,Year 12,Principal,08,08 August 2022,www.alexandrahillsshs.eq.edu.au,(07) 3820 1444,N,(07) 3820 1400,,Windemere Road,Alexandra Hills,4161,PO Box 234,Capalaba,,4157,South East,Bowman,Capalaba,Redland (C),Alexandra Hills,301011001,Major Cities of Australia,2022 February,1382.00,,0.00,,41363280419,State,,153.215428,-27.523768
0405,Alexandra Hills State School,State School,Open,,,Prep Year,Year 6,Principal,04,08 August 2022,www.alexandrahillsss.eq.edu.au,(07) 3820 0333,N,(07) 3820 0300,,12 Princeton Avenue,Alexandra Hills,4161,PO Box 5503,Alexandra Hills,,4161,South East,Bowman,Capalaba,Redland (C),Alexandra Hills,301011001,Major Cities of Australia,2022 February,198.00,,0.00,,60250447132,State,,153.221279,-27.518141
1866,Algester State School,State School,Open,,,Prep Year,Year 6,Principal,06,10 August 2022,www.algesterss.eq.edu.au,(07) 3712 5111,N,(07) 3712 5100,,19 Endiandra Street,Algester,4115,PO Box 5121,Algester,,4115,Metropolitan,Rankin,Algester,Brisbane (C),Algester,303051072,Major Cities of Australia,2022 February,956.00,,0.00,,70943736702,State,,153.031915,-27.615675
0155,Allenstown State School,State School,Open,,,Prep Year,Year 6,Principal,05,09 June 2022,www.allenstownss.eq.edu.au,(07) 4930 0111,N,(07) 4930 0100,,Upper Dawson Road,Allenstown,4700,PO Box 8444,Allenstown,,4700,Central Queensland,Capricornia,Rockhampton,Rockhampton (R),The Range - Allenstown,308031222,Inner Regional Australia,2022 February,360.00,,0.00,,47315850702,State,,150.502671,-23.391906
0773,Alligator Creek State School,State School,Open,,,Prep Year,Year 6,Principal,04,16 June 2022,www.alligatorcreekss.eq.edu.au,(07) 4964 9222,N,(07) 4956 4417,,50 Grasstree Road,Alligator Creek,4740,50 Grasstree Road,Alligator Creek,via Mackay,4740,Central Queensland,Capricornia,Mirani,Mackay (R),Sarina,312021352,Outer Regional Australia,2022 February,301.00,,0.00,,72800229502,State,,149.211559,-21.329398
0003,Allora P-10 State School,State School,Open,,,Prep Year,Year 10,Principal,04,04 February 2022,www.allorass.eq.edu.au,(07) 4666 7222,N,(07) 4666 7299,,21 Warwick Street,Allora,4362,PO Box 6,Allora,,4362,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),Southern Downs - West,307031186,Inner Regional Australia,2022 February,218.00,,0.00,,34253365904,State,,151.986183,-28.036194
0430,Alloway State School,State School,Open,,,Prep Year,Year 6,Principal,02,26 May 2022,www.allowayss.eq.edu.au,(07) 4159 7352,N,(07) 4159 7508,,4334 Goodwood Road,Alloway,4670,4334 Goodwood Road,Bundaberg,,4670,North Coast,Hinkler,Burnett,Bundaberg (R),Bundaberg Region - South,319011499,Inner Regional Australia,2022 February,57.00,,0.00,,53628761154,State,,152.378285,-24.952136
0870,Aloomba State School,State School,Open,,,Prep Year,Year 6,Principal,02,15 July 2022,www.aloombass.eq.edu.au,(07) 4043 3888,N,(07) 4043 3800,,Nielsen Street,Aloomba,4871,c/- Post Office,Aloomba,,4871,Far North Queensland,Kennedy,Mulgrave,Cairns (R),Babinda,306031158,Outer Regional Australia,2022 February,83.00,,0.00,,32012442977,State,,145.831978,-17.109840
0517,Alpha State School,State School,Open,,,Prep Year,Year 10,Principal,03,18 May 2022,www.alphass.eq.edu.au,(07) 4987 0888,N,(07) 4987 0800,,Milton Street,Alpha,4724,11 Milton Street,Alpha,,4724,Central Queensland,Maranoa,Gregory,Barcaldine (R),Barcaldine - Blackall,315031408,Very Remote Australia,2022 February,47.00,,0.00,,34433161836,State,,146.642263,-23.650791
1719,Amamoor State School,State School,Open,,,Prep Year,Year 6,Principal,02,13 May 2022,www.amamoorss.eq.edu.au,(07) 5401 1333,N,,,2 Elizabeth Street,Amamoor,4570,c/- Post Office,Amamoor,,4570,North Coast,Wide Bay,Gympie,Gympie (R),Gympie Region,319031514,Inner Regional Australia,2022 February,62.00,,0.00,,61566823389,State,,152.673150,-26.346411
0115,Amberley District State School,State School,Open,,,Prep Year,Year 6,Principal,06,13 May 2022,www.amberleydistrictss.eq.edu.au,(07) 3280 3111,N,(07) 3288 0313,,37 Deebing Creek Road,Yamanto,4305,37 Deebing Creek Road,Yamanto,,4305,Metropolitan,Blair,Ipswich West,Ipswich (C),Churchill - Yamanto,310031285,Major Cities of Australia,2022 February,712.00,,0.00,,29071078038,State,,152.750141,-27.657490
1415,Ambrose State School,State School,Open,,,Early Childhood,Year 6,Principal,02,08 August 2022,www.ambrosess.eq.edu.au,(07) 4975 1165,Y,,,39 Gentle Annie Road,Ambrose,4695,39 Gentle Annie Road,Ambrose,,4695,Central Queensland,Flynn,Gladstone,Gladstone (R),Gladstone Hinterland,308051535,Outer Regional Australia,2022 February,71.00,,6.00,,79273424412,State,,150.921893,-23.786492
1629,Amiens State School,State School,Open,,,Prep Year,Year 6,Principal,02,28 January 2022,www.amiensss.eq.edu.au,(07) 4683 3177,N,(07) 4683 3220,,1337 Amiens Road,Amiens,4380,1337 Amiens Road,Amiens,,4380,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),Stanthorpe Region,307031188,Outer Regional Australia,2022 February,16.00,,0.00,,41113139955,State,,151.812654,-28.594568
0474,Anakie State School,State School,Open,,,Early Childhood,Year 6,Principal,02,01 June 2022,www.anakiess.eq.edu.au,(07) 4981 1111,N,(07) 4985 4227,,Cook Street,The Gemfields,4702,PO Box 316,Sapphire,,4702,Central Queensland,Flynn,Gregory,Central Highlands (R),Central Highlands - West,308011191,Remote Australia,2022 February,66.00,,7.00,,99806429525,State,,147.745856,-23.554011
1572,Andergrove State School,State School,Open,,,Prep Year,Year 6,Principal,04,16 June 2022,www.andergrovess.eq.edu.au,(07) 4998 9333,N,,,Fernleigh Avenue,Andergrove,4740,PO Box 8289,Mount Pleasant,Mackay,4740,Central Queensland,Dawson,Mackay,Mackay (R),Andergrove - Beaconsfield,312021342,Inner Regional Australia,2022 February,326.00,,0.00,,88272471994,State,,149.188241,-21.086247
