Application ID,Project Round,Business Name,State Electorate 2017,Local Gov Area,Priority Area,Grant Funding Amount
BBAS100001,Business Basics Round 1,Exceler8 Pty Ltd,MOUNT OMMANEY,BRISBANE CITY,Training and coaching,5000
BBAS100002,Business Basics Round 1,Yin Wellness Brisbane,MCCONNEL,BRISBANE CITY,Professional business advice,5000
BBAS100003,Business Basics Round 1,BNC Plumbing Solutions,CALOUNDRA,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100005,Business Basics Round 1,Total Therapy,CHATSWORTH,BRISBANE CITY,Business continuity and succession,5000
BBAS100007,Business Basics Round 1,Dancelab Dance Company,NICKLIN,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100008,Business Basics Round 1,Grounded Explorer,MAROOCHYDORE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100009,Business Basics Round 1,Sweet Nutrients,WATERFORD,LOGAN CITY,Strategic marketing services,5000
BBAS100010,Business Basics Round 1,Catalyst Migration Pty Ltd,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS100011,Business Basics Round 1,Wild Earth Living Foods PTY LTD,MILLER,BRISBANE CITY,Strategic marketing services,5000
BBAS100012,Business Basics Round 1,Australian Organic Distillery Pty Ltd,KAWANA,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100013,Business Basics Round 1,LOVE TO R and D Pty Ltd,NINDERRY,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100014,Business Basics Round 1,ABMJT Trust Pty Ltd Trading as Plaster Fun House Brisbane East,CHATSWORTH,BRISBANE CITY,Website build/upgrades,5000
BBAS100015,Business Basics Round 1,MG Naturals Cosmetics,WOODRIDGE,LOGAN CITY,Training and coaching,5000
BBAS100017,Business Basics Round 1,My Plan Assist Pty Ltd,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100019,Business Basics Round 1,Helski Media,KAWANA,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100020,Business Basics Round 1,Harveys Kitchen,GREENSLOPES,BRISBANE CITY,Website build/upgrades,5000
BBAS100021,Business Basics Round 1,Stagency,SANDGATE,BRISBANE CITY,Website build/upgrades,5000
BBAS100023,Business Basics Round 1,Everyday Womens Business TA Toni Lontis Enterprises,CURRUMBIN,GOLD COAST CITY,Training and coaching,5000
BBAS100024,Business Basics Round 1,Mi Salon Australia,CALOUNDRA,SUNSHINE COAST REGIONAL,Strategic marketing services,5000
BBAS100025,Business Basics Round 1,Burdi,SOUTHPORT,GOLD COAST CITY,Website build/upgrades,5000
BBAS100027,Business Basics Round 1,Videre Finance Pty Ltd as trustee for the Videre Finance Trust,STAFFORD,BRISBANE CITY,Website build/upgrades,5000
BBAS100028,Business Basics Round 1,DYNAMIC COMMERCIAL COLLECTIONS PTY LTD,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS100029,Business Basics Round 1,Pussycat Bow Pty Ltd,STAFFORD,BRISBANE CITY,Website build/upgrades,5000
BBAS100030,Business Basics Round 1,Across the Board Finance,REDCLIFFE,MORETON BAY REGIONAL,Website build/upgrades,5000
BBAS100032,Business Basics Round 1,Sahori Smitham,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100033,Business Basics Round 1,Aquallis Finance Pty Ltd,BULIMBA,BRISBANE CITY,Website build/upgrades,5000
BBAS100034,Business Basics Round 1,Phoebe Greening Family Trust,BONNEY,GOLD COAST CITY,Website build/upgrades,5000
