Application ID,Program Round,Business Name,State Electorate 2017,Local Gov Area,Priority Area,Grant Funding Amount
BBAS200001,Business Basics Round 2,Bonita Weston,MUNDINGBURRA,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS200002,Business Basics Round 2,JSIF Family Trust,GLADSTONE,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS200003,Business Basics Round 2,Secured Nth Qld PTY LTD,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS200004,Business Basics Round 2,Nambini Fashion Gifts and Accessories,MULGRAVE,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200005,Business Basics Round 2,Equine Vet Services,BURDEKIN,TOWNSVILLE CITY,Training and coaching,5000
BBAS200006,Business Basics Round 2,Far North Queensland Media PTY,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200007,Business Basics Round 2,ISPP Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200009,Business Basics Round 2,Laser Smooth,GLADSTONE,GLADSTONE REGIONAL,Training and coaching,5000
BBAS200011,Business Basics Round 2,FNQ VOIP Services,MULGRAVE,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200012,Business Basics Round 2,Inspired Financial Advice,THURINGOWA,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS200013,Business Basics Round 2,XCD (AUST) PL ATF QUBES PROPERTY TRUST T/A QUAFFERS ON STORM KING,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Website build/upgrades,5000
BBAS200014,Business Basics Round 2,"Spa in a Jar Pty Ltd, t/a spajar skincare",BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200015,Business Basics Round 2,The Learning Grove,TOWNSVILLE,TOWNSVILLE CITY,Training and coaching,5000
BBAS200016,Business Basics Round 2,Breathe Wellness Collective,MACKAY,MACKAY REGIONAL,Strategic marketing services,5000
BBAS200017,Business Basics Round 2,BD Mag,THURINGOWA,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS200019,Business Basics Round 2,VIPR Industries PTY LTD,GREGORY,CENTRAL HIGHLANDS REGIONAL,Website build/upgrades,5000
BBAS200022,Business Basics Round 2,Lucy Holland Naturopath,MUNDINGBURRA,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS200023,Business Basics Round 2,Becker Project Solutions Pty Ltd,MACKAY,MACKAY REGIONAL,Website build/upgrades,5000
BBAS200024,Business Basics Round 2,Fraser Coast Conferences Pty Ltd,HERVEY BAY,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS200025,Business Basics Round 2,District Cairns,BARRON RIVER,CAIRNS REGIONAL,Training and coaching,5000
BBAS200026,Business Basics Round 2,Jedess Hudson,CAIRNS,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS200029,Business Basics Round 2,Dreams are Built Building services Pty Ltd,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS200030,Business Basics Round 2,Kauri Group Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200031,Business Basics Round 2,Office Booking Pty Ltd trading as Go Regional,MACKAY,MACKAY REGIONAL,Website build/upgrades,5000
BBAS200032,Business Basics Round 2,Archer Boxing Group Pty Ltd,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Website build/upgrades,5000
BBAS200033,Business Basics Round 2,K.G. Stockham & K.W Stockham,THURINGOWA,TOWNSVILLE CITY,Professional business advice,5000
BBAS200034,Business Basics Round 2,AJ Mulcahy & TA Scott T/A Lazy Lizard Motor Inn,COOK,DOUGLAS SHIRE,Website build/upgrades,5000
BBAS200035,Business Basics Round 2,Emotion Video,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200036,Business Basics Round 2,CASSOWARY COAST INFORMER (FORMERLY CASSOWARY INFORMER),HILL,TABLELANDS REGIONAL,Strategic marketing services,5000
BBAS200038,Business Basics Round 2,Strait Charters,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200039,Business Basics Round 2,Mackay Recycling,MACKAY,MACKAY REGIONAL,Website build/upgrades,5000
BBAS200040,Business Basics Round 2,Western Pest Solutions,TRAEGER,MOUNT ISA CITY,Website build/upgrades,5000
BBAS200041,Business Basics Round 2,McCracken's Automotive,BUNDABERG,BUNDABERG REGIONAL,Strategic marketing services,5000
BBAS200042,Business Basics Round 2,JTW Accountants Pty Ltd,GLADSTONE,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS200043,Business Basics Round 2,THAIs AYR,BURDEKIN,BURDEKIN SHIRE,Website build/upgrades,5000
BBAS200044,Business Basics Round 2,Envigorate Consulting,HILL,TABLELANDS REGIONAL,Professional business advice,5000
BBAS200045,Business Basics Round 2,The Tea Chest Pty Ltd,COOK,DOUGLAS SHIRE,Website build/upgrades,5000
BBAS200046,Business Basics Round 2,What's On + Where to Go,HILL,TABLELANDS REGIONAL,Website build/upgrades,5000
BBAS200049,Business Basics Round 2,Stories In Light Imagery,WHITSUNDAY,WHITSUNDAY REGIONAL,Website build/upgrades,5000
BBAS200050,Business Basics Round 2,The Zentex Trust t/a Rosetta Homestead,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Strategic marketing services,5000
BBAS200052,Business Basics Round 2,Inner Pathways Education,KEPPEL,LIVINGSTONE SHIRE,Training and coaching,5000
BBAS200054,Business Basics Round 2,Solace Farm,GYMPIE,GYMPIE REGIONAL,Website build/upgrades,5000
BBAS200055,Business Basics Round 2,Sophus Health Pty Ltd,CAIRNS,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS200056,Business Basics Round 2,Petals and Pinecones,HILL,TABLELANDS REGIONAL,Professional business advice,5000
BBAS200057,Business Basics Round 2,Suzanne Sophia Shaw,MIRANI,MACKAY REGIONAL,Website build/upgrades,5000
BBAS200058,Business Basics Round 2,ICEINT pty ltd atf ICEINT trust t/a ICE International,MULGRAVE,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200059,Business Basics Round 2,Princess And Pea,KEPPEL,LIVINGSTONE SHIRE,Website build/upgrades,5000
BBAS200060,Business Basics Round 2,Our Children Australia Pty Ltd T/A Family Law Services Online,GREGORY,CENTRAL HIGHLANDS REGIONAL,Training and coaching,5000
BBAS200061,Business Basics Round 2,Mindset Development Coaching,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Website build/upgrades,5000
BBAS200063,Business Basics Round 2,Legends Build Group Pty Ltd,CAIRNS,CAIRNS REGIONAL,Training and coaching,5000
BBAS200064,Business Basics Round 2,MiHaven Accommodation Management Pty Ltd,CAIRNS,CAIRNS REGIONAL,Training and coaching,5000
BBAS200065,Business Basics Round 2,Vital Leaders Pty Ltd,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200066,Business Basics Round 2,Queensland Transport and Logistics Training Pty Ltd,CAIRNS,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS200067,Business Basics Round 2,Prosper Business Analytics Pty Ltd as Trustee for Prosper Business Analytics Trust,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200068,Business Basics Round 2,Garrity Trust TA Cassowary Falls Gateway,COOK,DOUGLAS SHIRE,Website build/upgrades,5000
BBAS200069,Business Basics Round 2,Blue River Microgreens,MACKAY,MACKAY REGIONAL,Website build/upgrades,5000
BBAS200070,Business Basics Round 2,JGNQ Accounting,CAIRNS,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS200071,Business Basics Round 2,Origin Support Services Pty Ltd,MULGRAVE,CAIRNS REGIONAL,Training and coaching,5000
BBAS200072,Business Basics Round 2,"Affordable Security Screens, Doors & Repairs",CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200073,Business Basics Round 2,Buck Wild Country Pty Ltd,BURDEKIN,ISAAC REGIONAL,Website build/upgrades,5000
BBAS200074,Business Basics Round 2,Live and Breathe Yoga,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS200075,Business Basics Round 2,PGK Projects Pty Ltd,GREGORY,CENTRAL HIGHLANDS REGIONAL,Website build/upgrades,5000
BBAS200076,Business Basics Round 2,D.L Freebody and N.G Freebody,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200077,Business Basics Round 2,Heightened Vision,CAIRNS,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS200078,Business Basics Round 2,GIW DESIGNS,GLADSTONE,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS200079,Business Basics Round 2,The Vault Surf and fashion,BURDEKIN,ISAAC REGIONAL,Training and coaching,5000
BBAS200080,Business Basics Round 2,Engaged Learning Solutions t/as Learn Grow Become,KEPPEL,LIVINGSTONE SHIRE,Training and coaching,5000
BBAS200082,Business Basics Round 2,Well Balanced Care Pty Ltd,MULGRAVE,CAIRNS REGIONAL,Training and coaching,5000
BBAS200084,Business Basics Round 2,Crew Pacific Elementary Super Yacht Training & Recruitment for the Super Yacht industry,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200085,Business Basics Round 2,Natasha Simone Henderson,THURINGOWA,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS200086,Business Basics Round 2,Active Blends Superfood Bar Parkside,MACKAY,MACKAY REGIONAL,Strategic marketing services,5000
BBAS200087,Business Basics Round 2,Fizztastic Pty Ltd,CAIRNS,CAIRNS REGIONAL,Professional business advice,5000
BBAS200088,Business Basics Round 2,Diesel Help Australia,BURNETT,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS200089,Business Basics Round 2,Cell Nutrition & Fitness c/o Ralph Ayoub,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS200090,Business Basics Round 2,My DIsability Matters Pty Ltd trading as Travel For All,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200091,Business Basics Round 2,Alice Louise Paterson,WHITSUNDAY,WHITSUNDAY REGIONAL,Website build/upgrades,5000
