Title,Address,Address 2,Suburb,Postcode,Latitude,Longitude,Phone,Website
Acacia Ridge Community Centre,21 Hanify St,,ACACIA  RIDGE,4110,-27.579754,153.019768,07 3277 4893,https://belong.org.au/
Annerley Community Service,26 Devon Street,,YERONGA,4104,-27.51684,153.01617,0488 084 633,https://communityplus.org.au/annerley-community-service/
Bay Islands Community Services,55 Jackson Rd,,RUSSELL ISLAND,4184,-27.658954,153.371791,07 3409 1177,https://bics.org.au/
Beaudesert Community Centre,44 Tina St,,BEAUDESERT,4285,-27.988909,153.001686,07 5541 4216,http://www.beaucare.org.au/community-services.html
Beenleigh Neighbourhood Centre,10 James St,,BEENLEIGH,4207,-27.7172417,153.2009612,07 3287 2840,http://beenleigh.org.au/
Benarrawa Community Development Association,79 Waratah Ave,,GRACEVILLE,4075,-27.518651,152.985055,07 3379 9925,https://www.facebook.com/Benarrawa/
Better Together Community Support,38 Mabel Street,,ATHERTON,4883,-17.26653,145.477406,07 4091 3850,http://www.cst.org.au/
Blackall Neighbourhood Centre,6 Coronation Drive,,BLACKALL,4472,-24.4246065,145.4648936,07 4621 6600,http://www.btrc.qld.gov.au/blackall-neighbourhood-centre
Boulia Community Support Service,Lot 606 Moonah St,,BOULIA,4829,-22.908359,139.909389,07 4746 3700,https://www.facebook.com/bouliacommunitysupportservices/
Bowen Neighbourhood Centre,20 Williams St,,BOWEN,4805,-20.012083,148.248102,07 4786 2111,http://bowenneighbourhoodcentre.org.au/
Bribie Island Neighbourhood Centre,9 Verdoni St,,BELLARA,4507,-27.064283,153.153121,07 3408 8440,
Brilla Brilla Centre (Community Support Service),1 Violet St,,HEALY,4825,-20.739235,139.494793,07 4743 7671,
Bundaberg and District Neighbourhood Centre,111 Targo St,,BUNDABERG SOUTH,4670,-24.87489,152.353649,07 4153 1614,http://www.kenalwynbnc.org.au/
Burdekin Community Association Community Support Service,130 Queen St,The Support Centre - Old National Bank Building,AYR,4807,-19.575358,147.406302,07 4783 3744,http://www.burdekincommunityassociation.org.au/
Burdekin Neighbourhood Centre Association,40 Chippendale St,,AYR,4807,-19.567064,147.411513,07 4783 4243,http://thebnc.org.au/
Caboolture Neighbourhood Centre,9 George St,,CABOOLTURE,4510,-27.083784,152.94914,07 5428 1404,http://www.caboolturenhc.com.au/
Caloundra Community Centre,58a Queen St,,CALOUNDRA,4551,-26.794403,153.130271,07 5491 4000,https://www.caloundracommunitycentre.org/
Cannon Hill Community Centre,18 Lang St,,CANNON HILL,4170,-27.468426,153.080048,07 3517 2424,https://www.ymcabrisbane.org/services/community-centres/cannon-hill
Capella Tieri Middlemount Community Support Network,26 Talagai Ave,,TIERI,4709,-23.03484,148.34229,07 4984 8349,
Care Balonne Community Support Service,84-86 Victoria St,,ST GEORGE,4487,-28.035219,148.583589,07 4625 5450,https://www.carebalonne.com/
Care Goondiwindi Association,111 Callandoon,,GOONDIWINDI,4390,-28.54631,150.31343,07 4670 0700,https://caregoondiwindi.org.au/
Centacare Family and Relationship Services  Kingaroy,15 Albert St,,KINGAROY,4610,-26.536998,151.840948,07 4162 5439,https://centacare.com/location/centacare-family-and-relationship-services-kingaroy/
Charleville Neighbourhood Centre,114-118  Alfred St,,CHARLEVILLE,4470,-26.400514,146.2415615,07 4654 1307,https://neighbourhoodcentre.wixsite.com/cdcsai
Charters Towers Neighbourhood Centre,3 Powell Lane,,LISSNER,4820,-20.07757,146.257649,07 4787 4797,https://www.prospect.org.au/
Childers Neighbourhood Centre,69 Churchill St,,CHILDERS,4660,-25.236133,152.277531,07 4130 4690,https://www.bundaberg.qld.gov.au/neighbourhood-centres-1/childers-neighbourhood-centre
Chinchilla Community Centre,71 Middle St,,CHINCHILLA,4413,-26.7428658,150.6271319,07 4662 8528,https://www.chinchillacommunitycentre.org/
Cloncurry Neighbourhood Centre,57 Sheaffe St,,CLONCURRY,4824,-20.706394,140.505009,1300 672 273,https://www.centacarenq.org.au/centres/cloncurry/
CO.AS.IT. Community Services Inc,473 Lutwyche Road,,LUYWYCHE,4010,-27.423892,153.03394,07 3624 6100,http://www.coasit.asn.au/
Coastal Community Development Service,36 Macartney St,,ST LAWRENCE,4707,-22.346026,149.53664,07 4964 5400,
Collinsville Community Association,81 Garrick St,Collinsville Hospital,COLLINSVILLE,4804,-20.5464542,147.8375859,07 4785 5965,https://www.facebook.com/collinsvillecommunityassociation/
Community Support Centre Innisfail,13-17 Donald St,,INNISFAIL,4860,-17.521646,146.024086,07 4043 8400,http://www.csci.org.au/
Cooktown District Community Centre,11 Charles St,,COOKTOWN,4895,-15.480138,145.252896,07 4069 6098,https://www.facebook.com/CooktownDCC/
Crestmead Community Centre,1 Gimlet St,,CRESTMEAD,4132,-27.689197,153.092232,07 3805 4100,https://www.pcyc.org.au/clubs/pcyc-crestmead/
Deception Bay Neighbourhood Centre,D24 Endeavour St,,DECEPTION BAY,4508,-27.184408,153.026318,07 3204 2022,http://www.dbnc.org.au/
Discovery Coast Community Support Service,71 Springs Rd,,AGNES WATER,4677,-24.21153,151.910173,0429 498 666,
Dysart Community Support Group Inc,21 Queen Elizabeth Dve,,DYSART,4745,-22.590945,148.348418,07 4958 2461,https://www.facebook.com/Dysart-Community-Support-Group-298820770889042/
